f^N,bterm,kterm,t2,t3,t4,t6,t7,t8,t11,t12,t14,t15,t16,t17,t18,t19
6,1S3,1S4,0.0,0.0,0.29277,0.0,-2.535463,0.0,0.0,0.0,0.0,-0.39036,0.0,-0.629941,0.0,0.9759
6,1S3,1S3,0.0,6.44094,0.0,0.0,0.0,0.0,-2.059715,0.0,-8.587921,0.0,0.0,0.0,0.0,0.0
6,1S4,1S2,0.179531,0.0,-2.05129,-0.575302,-0.921132,1.879486,0.0,1.427597,0.0,2.735054,-0.684818,3.530939,0.068482,0.455842
6,1S4,1S4,-0.462834,0.29277,0.416205,0.733044,-0.749159,3.129282,0.411943,0.56621,-0.39036,-0.55494,3.530939,-0.80071,1.059282,-1.01195
6,1S4,1S1,0.0,0.0,5.737097,0.0,0.0,0.0,0.0,0.0,0.0,4.302823,0.0,0.0,0.0,0.0
6,1S4,1S3,0.0,0.0,0.29277,0.0,-2.535463,0.0,0.0,0.0,0.0,-0.39036,0.0,-0.629941,0.0,0.9759
6,3D1,3D4,0.595346,0.0,0.742486,0.430834,-0.714457,0.0,0.0,-1.182372,0.0,-0.989981,-0.263131,-0.543176,-0.534842,0.587801
6,3D1,3D3,0.090476,0.920087,-0.392952,0.410425,-0.680612,0.0,-0.161826,0.282537,-1.226783,0.523935,-0.072657,-0.06764,-0.17256,0.261968
6,3D1,3D2,-0.885309,0.0,1.046583,-0.185759,0.201415,0.0,0.0,-1.107386,0.0,0.451467,-0.037944,-0.026493,0.174541,0.082085
6,3D1,3D5,-0.175204,0.0,0.23355,0.007744,0.622832,-1.008805,0.0,0.214337,0.0,-0.3114,-0.133663,-0.502519,0.294058,-0.105653
6,3D1,3D1,-0.532014,2.30963,-0.611289,-0.145107,-0.192506,0.0,0.1602,-0.461356,2.043968,-0.435312,0.025688,-0.191314,0.205504,0.074096
6,3D2,3D5,0.092735,0.0,0.229984,-0.231631,-0.056906,0.067732,0.0,1.133154,0.0,-0.306645,0.65811,0.024742,0.504277,-0.093089
6,3D2,3D1,-0.885309,0.0,1.046583,-0.185759,0.201415,0.0,0.0,-1.107386,0.0,0.451467,-0.037944,-0.026493,0.174541,0.082085
6,3D2,3D3,-0.059787,0.0,0.174128,-1.172059,-0.167555,0.0,0.0,0.169946,0.0,-0.232171,0.107321,-0.599463,-0.33672,0.290214
6,3D2,3D4,0.627235,-0.539449,0.044174,0.01697,-0.563719,-0.307741,-1.897583,-0.381181,0.719265,-0.058898,-0.439366,0.453601,0.886619,-0.107641
6,3D2,3D2,0.386307,0.459486,1.738512,0.014291,0.164432,-0.127583,-0.1602,0.167766,0.241264,1.452022,-0.029775,0.042937,0.088741,0.00842
6,3D3,3D3,-0.074078,1.78915,-0.389002,0.798089,0.192506,0.0,-0.366171,0.090624,-2.385534,0.51867,-0.141284,-0.023914,0.025688,-0.074096
6,3D3,3D5,0.123888,0.0,-0.165145,-0.050651,1.289445,-0.356666,0.0,-0.151559,0.0,0.220193,-0.189028,0.29442,-0.151222,-0.707762
6,3D3,3D1,0.090476,0.920087,-0.392952,0.410425,-0.680612,0.0,-0.161826,0.282537,-1.226783,0.523935,-0.072657,-0.06764,-0.17256,0.261968
6,3D3,3D2,-0.059787,0.0,0.174128,-1.172059,-0.167555,0.0,0.0,0.169946,0.0,-0.232171,0.107321,-0.599463,-0.33672,0.290214
6,3D3,3D4,0.243889,0.0,-0.091878,0.19802,0.467308,0.0,0.0,-0.298362,0.0,0.122504,-0.639081,0.1638,-0.67144,0.568768
6,3D4,3D5,-0.006502,0.0,0.112682,0.472925,-0.179443,0.388017,0.0,0.007955,0.0,-0.150243,1.155841,-0.104974,0.52881,-0.586937
6,3D4,3D3,0.243889,0.0,-0.091878,0.19802,0.467308,0.0,0.0,-0.298362,0.0,0.122504,-0.639081,0.1638,-0.67144,0.568768
6,3D4,3D4,-0.179935,0.223644,-0.038981,-0.449012,-1.253047,0.405945,0.915429,0.220125,-0.298192,0.051974,0.446303,-0.473097,-0.279809,0.200548
6,3D4,3D2,0.627235,-0.539449,0.044174,0.01697,-0.563719,-0.307741,-1.897583,-0.381181,0.719265,-0.058898,-0.439366,0.453601,0.886619,-0.107641
6,3D4,3D1,0.595346,0.0,0.742486,0.430834,-0.714457,0.0,0.0,-1.182372,0.0,-0.989981,-0.263131,-0.543176,-0.534842,0.587801
6,3D5,3D3,0.123888,0.0,-0.165145,-0.050651,1.289445,-0.356666,0.0,-0.151559,0.0,0.220193,-0.189028,0.29442,-0.151222,-0.707762
6,3D5,3D2,0.092735,0.0,0.229984,-0.231631,-0.056906,0.067732,0.0,1.133154,0.0,-0.306645,0.65811,0.024742,0.504277,-0.093089
6,3D5,3D5,-0.127396,0.0,0.239262,0.064445,0.125074,1.656409,0.411943,0.155851,0.0,-0.319016,0.140435,0.417116,-0.265712,-0.064792
6,3D5,3D1,-0.175204,0.0,0.23355,0.007744,0.622832,-1.008805,0.0,0.214337,0.0,-0.3114,-0.133663,-0.502519,0.294058,-0.105653
6,3D5,3D4,-0.006502,0.0,0.112682,0.472925,-0.179443,0.388017,0.0,0.007955,0.0,-0.150243,1.155841,-0.104974,0.52881,-0.586937
6,3F1,3F9,0.0,0.0,1.75662,0.0,0.0,0.0,0.0,0.0,0.0,1.317465,0.0,0.0,0.0,0.0
6,3F1,3F8,0.848528,0.0,0.0,0.0,0.0,0.0,0.0,0.849315,0.0,0.0,0.0,0.0,0.0,0.0
6,3F1,3F7,0.0,0.0,-1.690309,0.0,0.0,0.0,0.0,0.0,0.0,-1.267731,0.0,0.0,0.0,0.0
6,3F1,3F6,0.715542,0.0,0.0,0.0,0.0,0.0,0.0,0.716205,0.0,0.0,0.0,0.0,0.0,0.0
6,3F1,3F5,0.0,-3.380617,0.0,0.0,0.0,0.0,0.0,0.0,-2.535463,0.0,0.0,0.0,0.0,0.0
6,3F1,3F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3F1,3F4,0.0,0.0,0.478091,0.0,0.0,0.0,0.0,0.0,0.0,0.956183,0.0,-0.308607,0.0,-0.597614
6,3F1,3F3,-1.928212,0.0,0.0,0.0,0.0,0.0,0.0,-1.31141,0.0,0.0,-0.617213,0.0,0.385758,0.0
6,3F1,3F2,0.0,0.956183,0.0,0.0,0.0,0.0,-0.504525,0.0,1.912366,0.0,0.0,0.0,0.0,0.0
6,3F2,3F2,0.0,-0.74819,0.0,0.0,0.0,0.0,0.251743,0.0,-2.174088,0.0,0.0,0.0,0.0,0.0
6,3F2,3F7,0.0,0.0,0.115011,0.0,0.996024,0.0,0.0,0.0,0.0,-0.153348,0.0,0.049493,0.0,0.095842
6,3F2,3F9,0.0,0.0,0.358569,0.0,-0.575055,0.0,0.0,0.0,0.0,-0.478091,0.0,-0.257172,0.0,0.83002
6,3F2,3F8,-0.062984,0.0,0.0,0.150792,0.0,0.0,0.0,-0.500834,0.0,0.0,-0.400417,0.0,-0.280292,0.0
6,3F2,3F6,-0.266116,0.0,0.0,0.476846,0.0,0.0,0.0,0.675812,0.0,0.0,-0.105519,0.0,0.564527,0.0
6,3F2,3F4,0.0,0.0,-0.22771,0.0,-0.281718,0.0,0.0,0.0,0.0,-0.184337,0.0,-0.097991,0.0,0.054217
6,3F2,3F1,0.0,0.956183,0.0,0.0,0.0,0.0,-0.504525,0.0,1.912366,0.0,0.0,0.0,0.0,0.0
6,3F2,3F3,0.326619,0.0,0.0,-0.39538,0.0,0.0,0.0,0.408551,0.0,0.0,0.013999,0.0,0.069993,0.0
6,3F2,3F5,0.0,-1.840175,0.0,0.0,0.0,0.0,0.809132,0.0,2.453566,0.0,0.0,0.0,0.0,0.0
6,3F3,3F2,0.326619,0.0,0.0,-0.39538,0.0,0.0,0.0,0.408551,0.0,0.0,0.013999,0.0,0.069993,0.0
6,3F3,3F1,-1.928212,0.0,0.0,0.0,0.0,0.0,0.0,-1.31141,0.0,0.0,-0.617213,0.0,0.385758,0.0
6,3F3,3F6,0.509097,-0.539449,0.053313,0.074245,-0.03078,0.219815,-1.897583,-1.049604,0.719265,-0.071084,0.256297,0.50473,0.946327,-0.124397
6,3F3,3F7,0.54658,0.0,0.523785,0.018703,1.263908,0.11075,0.0,-0.183343,0.0,-0.69838,0.376631,-0.572172,-0.251535,-0.588698
6,3F3,3F5,0.110287,0.0,0.0,-1.118303,0.0,0.0,0.0,-0.313492,0.0,0.0,-0.197971,0.0,-0.210344,0.0
6,3F3,3F4,-1.037291,0.0,-1.481487,0.026451,0.043863,0.156624,0.0,-0.927328,0.0,-1.443501,0.076091,-0.147122,0.015218,-0.272239
6,3F3,3F8,-0.014301,0.0,0.202309,0.088044,-0.116803,0.83414,0.0,-0.488623,0.0,-0.269745,-0.296138,0.478829,-0.206517,0.455194
6,3F3,3F9,-0.177125,0.0,0.44198,0.129581,0.201456,0.959121,0.0,-0.287671,0.0,-0.589307,-0.093192,0.25026,-0.193373,0.329546
6,3F3,3F3,-0.377124,0.459486,1.480861,-0.084646,0.063804,0.091131,-0.1602,-0.246406,0.241264,1.340879,-0.347373,-0.019023,-0.098082,-0.117879
6,3F4,3F6,0.078189,0.0,-0.068721,0.063801,0.145479,0.377791,0.0,0.0699,0.0,0.091628,0.045885,-0.088718,-0.54832,0.225252
6,3F4,3F8,0.296705,0.0,0.934451,0.08953,0.138013,-0.537606,0.0,0.265252,0.0,-1.245935,-0.304709,0.177683,0.026118,-0.220936
6,3F4,3F2,0.0,0.0,-0.22771,0.0,-0.281718,0.0,0.0,0.0,0.0,-0.184337,0.0,-0.097991,0.0,0.054217
6,3F4,3F7,0.127273,0.230022,-0.114451,-0.463091,0.181576,0.190343,-0.647306,-0.656163,-0.306696,0.152601,-0.936282,0.211493,-0.298223,0.335497
6,3F4,3F3,-1.037291,0.0,-1.481487,0.026451,0.043863,0.156624,0.0,-0.927328,0.0,-1.443501,0.076091,-0.147122,0.015218,-0.272239
6,3F4,3F1,0.0,0.0,0.478091,0.0,0.0,0.0,0.0,0.0,0.0,0.956183,0.0,-0.308607,0.0,-0.597614
6,3F4,3F5,0.0,0.0,0.115011,0.0,0.996024,0.0,0.0,0.0,0.0,-0.153348,0.0,0.049493,0.0,0.095842
6,3F4,3F9,0.640334,0.0,0.234883,-0.106134,0.218322,0.741788,0.0,-1.650184,0.0,-0.313177,0.620646,0.045162,0.124129,-0.285135
6,3F4,3F4,-1.054232,-0.45542,0.821529,0.065349,-0.018847,0.269186,0.045771,-1.541349,-0.368673,0.455196,0.0,-0.004683,-0.21578,0.012695
6,3F5,3F1,0.0,-3.380617,0.0,0.0,0.0,0.0,0.0,0.0,-2.535463,0.0,0.0,0.0,0.0,0.0
6,3F5,3F3,0.110287,0.0,0.0,-1.118303,0.0,0.0,0.0,-0.313492,0.0,0.0,-0.197971,0.0,-0.210344,0.0
6,3F5,3F9,0.0,0.0,0.0,0.0,-0.6506,0.0,0.0,0.0,0.0,0.0,0.0,0.090924,0.0,0.093906
6,3F5,3F8,0.0,0.0,0.0,-1.172886,0.0,0.0,0.0,0.0,0.0,0.0,0.141569,0.0,0.056627,0.0
6,3F5,3F7,0.0,0.0,-0.16265,0.0,0.281718,0.0,0.0,0.0,0.0,0.216867,0.0,-0.227479,0.0,-0.379517
6,3F5,3F4,0.0,0.0,0.115011,0.0,0.996024,0.0,0.0,0.0,0.0,-0.153348,0.0,0.049493,0.0,0.095842
6,3F5,3F6,-0.215166,0.0,0.0,-0.927248,0.0,0.0,0.0,0.263224,0.0,0.0,0.28353,0.0,0.343221,0.0
6,3F5,3F2,0.0,-1.840175,0.0,0.0,0.0,0.0,0.809132,0.0,2.453566,0.0,0.0,0.0,0.0,0.0
6,3F5,3F5,0.0,-1.78915,0.0,0.0,0.0,0.0,0.915429,0.0,2.385534,0.0,0.0,0.0,0.0,0.0
6,3F6,3F1,0.715542,0.0,0.0,0.0,0.0,0.0,0.0,0.716205,0.0,0.0,0.0,0.0,0.0,0.0
6,3F6,3F8,0.00616,0.0,0.030499,-0.196441,0.158478,-0.754508,0.0,-0.007536,0.0,-0.040666,-0.474641,-0.301869,-0.252829,0.101664
6,3F6,3F9,-0.018416,0.0,-0.280552,-0.164827,-0.089087,0.173512,0.0,0.022529,0.0,0.374069,-0.435525,0.422556,0.014049,0.168331
6,3F6,3F7,0.3296,0.0,0.680301,0.406734,0.004676,-0.033392,0.0,-0.403218,0.0,-0.907068,0.008111,-0.815532,-0.173582,0.248364
6,3F6,3F6,-0.816192,0.223644,-0.05827,0.617704,-0.634561,-0.289961,0.915429,0.998493,-0.298192,0.077693,-0.009288,-0.36489,0.361119,0.085731
6,3F6,3F3,0.509097,-0.539449,0.053313,0.074245,-0.03078,0.219815,-1.897583,-1.049604,0.719265,-0.071084,0.256297,0.50473,0.946327,-0.124397
6,3F6,3F4,0.078189,0.0,-0.068721,0.063801,0.145479,0.377791,0.0,0.0699,0.0,0.091628,0.045885,-0.088718,-0.54832,0.225252
6,3F6,3F2,-0.266116,0.0,0.0,0.476846,0.0,0.0,0.0,0.675812,0.0,0.0,-0.105519,0.0,0.564527,0.0
6,3F6,3F5,-0.215166,0.0,0.0,-0.927248,0.0,0.0,0.0,0.263224,0.0,0.0,0.28353,0.0,0.343221,0.0
6,3F7,3F6,0.3296,0.0,0.680301,0.406734,0.004676,-0.033392,0.0,-0.403218,0.0,-0.907068,0.008111,-0.815532,-0.173582,0.248364
6,3F7,3F2,0.0,0.0,0.115011,0.0,0.996024,0.0,0.0,0.0,0.0,-0.153348,0.0,0.049493,0.0,0.095842
6,3F7,3F1,0.0,0.0,-1.690309,0.0,0.0,0.0,0.0,0.0,0.0,-1.267731,0.0,0.0,0.0,0.0
6,3F7,3F9,-0.259794,0.0,0.081277,0.232527,0.00136,0.407963,0.0,0.317821,0.0,-0.108369,0.077863,-0.041059,-0.167051,0.06989
6,3F7,3F8,-0.080693,0.0,-0.122932,-0.12394,-0.079846,-0.823647,0.0,0.098716,0.0,0.163909,0.200072,-0.548851,0.018468,-0.466115
6,3F7,3F4,0.127273,0.230022,-0.114451,-0.463091,0.181576,0.190343,-0.647306,-0.656163,-0.306696,0.152601,-0.936282,0.211493,-0.298223,0.335497
6,3F7,3F7,0.47569,-0.3253,-0.0034,-1.000832,-0.30626,-0.471075,-1.968172,-0.581938,0.433733,0.004534,-0.772393,-0.043606,0.701284,0.176366
6,3F7,3F3,0.54658,0.0,0.523785,0.018703,1.263908,0.11075,0.0,-0.183343,0.0,-0.69838,0.376631,-0.572172,-0.251535,-0.588698
6,3F7,3F5,0.0,0.0,-0.16265,0.0,0.281718,0.0,0.0,0.0,0.0,0.216867,0.0,-0.227479,0.0,-0.379517
6,3F8,3F6,0.00616,0.0,0.030499,-0.196441,0.158478,-0.754508,0.0,-0.007536,0.0,-0.040666,-0.474641,-0.301869,-0.252829,0.101664
6,3F8,3F7,-0.080693,0.0,-0.122932,-0.12394,-0.079846,-0.823647,0.0,0.098716,0.0,0.163909,0.200072,-0.548851,0.018468,-0.466115
6,3F8,3F9,-0.326118,0.0,-0.869438,0.257912,0.281718,-0.012193,0.0,0.398958,0.0,1.159251,-0.186595,-0.03436,-0.024879,0.454434
6,3F8,3F4,0.296705,0.0,0.934451,0.08953,0.138013,-0.537606,0.0,0.265252,0.0,-1.245935,-0.304709,0.177683,0.026118,-0.220936
6,3F8,3F3,-0.014301,0.0,0.202309,0.088044,-0.116803,0.83414,0.0,-0.488623,0.0,-0.269745,-0.296138,0.478829,-0.206517,0.455194
6,3F8,3F8,-0.739443,0.0,-0.096447,-0.228334,0.233871,0.053021,0.411943,0.904601,0.0,0.128596,-0.231829,-0.049805,-0.285923,0.055725
6,3F8,3F5,0.0,0.0,0.0,-1.172886,0.0,0.0,0.0,0.0,0.0,0.0,0.141569,0.0,0.056627,0.0
6,3F8,3F1,0.848528,0.0,0.0,0.0,0.0,0.0,0.0,0.849315,0.0,0.0,0.0,0.0,0.0,0.0
6,3F8,3F2,-0.062984,0.0,0.0,0.150792,0.0,0.0,0.0,-0.500834,0.0,0.0,-0.400417,0.0,-0.280292,0.0
6,3F9,3F1,0.0,0.0,1.75662,0.0,0.0,0.0,0.0,0.0,0.0,1.317465,0.0,0.0,0.0,0.0
6,3F9,3F8,-0.326118,0.0,-0.869438,0.257912,0.281718,-0.012193,0.0,0.398958,0.0,1.159251,-0.186595,-0.03436,-0.024879,0.454434
6,3F9,3F3,-0.177125,0.0,0.44198,0.129581,0.201456,0.959121,0.0,-0.287671,0.0,-0.589307,-0.093192,0.25026,-0.193373,0.329546
6,3F9,3F9,0.415693,0.0,-0.246867,0.228011,-0.065964,0.381346,0.411943,-0.50854,0.0,0.329156,0.429107,0.002634,-0.197798,0.010428
6,3F9,3F2,0.0,0.0,0.358569,0.0,-0.575055,0.0,0.0,0.0,0.0,-0.478091,0.0,-0.257172,0.0,0.83002
6,3F9,3F4,0.640334,0.0,0.234883,-0.106134,0.218322,0.741788,0.0,-1.650184,0.0,-0.313177,0.620646,0.045162,0.124129,-0.285135
6,3F9,3F7,-0.259794,0.0,0.081277,0.232527,0.00136,0.407963,0.0,0.317821,0.0,-0.108369,0.077863,-0.041059,-0.167051,0.06989
6,3F9,3F6,-0.018416,0.0,-0.280552,-0.164827,-0.089087,0.173512,0.0,0.022529,0.0,0.374069,-0.435525,0.422556,0.014049,0.168331
6,3F9,3F5,0.0,0.0,0.0,0.0,-0.6506,0.0,0.0,0.0,0.0,0.0,0.0,0.090924,0.0,0.093906
6,3G1,3G1,-0.19346,2.30963,0.555718,-0.052766,0.175006,0.0,0.1602,-0.167766,2.043968,0.395738,0.009341,0.173922,0.074729,-0.06736
6,3G1,3G7,-0.319878,0.0,-0.213201,0.014138,-0.463058,-0.669752,0.0,0.391324,0.0,0.284268,-0.244034,0.458735,0.536874,-0.086296
6,3G1,3G2,-0.841173,0.0,-0.611942,-0.176498,-0.117768,0.0,0.0,-1.052179,0.0,-0.263975,-0.036052,0.01549,0.16584,-0.047995
6,3G1,3G3,0.575385,0.0,0.958745,0.079474,0.026359,0.0,0.0,0.514389,0.0,0.776127,-0.042208,0.05894,0.16883,-0.136964
6,3G1,3G4,0.0329,0.920087,0.357229,0.149245,0.618738,0.0,-0.161826,0.102741,-1.226783,-0.476305,-0.026421,0.061491,-0.062749,-0.238152
6,3G1,3G6,0.641585,0.0,0.096848,-1.123937,0.46596,0.0,0.0,0.076574,0.0,-0.12913,0.417834,-0.208383,-0.596906,0.24212
6,3G1,3G5,0.565665,0.0,-0.434136,0.409355,0.417747,0.0,0.0,-1.123427,0.0,0.578847,-0.250013,0.317598,-0.508178,-0.343691
6,3G2,3G1,-0.841173,0.0,-0.611942,-0.176498,-0.117768,0.0,0.0,-1.052179,0.0,-0.263975,-0.036052,0.01549,0.16584,-0.047995
6,3G2,3G6,-0.468063,0.0,0.149514,-0.016017,0.750338,-0.221294,0.0,0.157005,0.0,-0.199352,-0.322527,-0.321703,0.215402,-0.216604
6,3G2,3G4,-0.056807,0.0,-0.101814,-1.113627,0.09797,0.0,0.0,0.161473,0.0,0.135752,0.101971,0.350509,-0.319933,-0.16969
6,3G2,3G5,0.372255,-0.539449,-0.065733,0.059233,0.240357,-0.086799,-1.897583,-0.828001,0.719265,0.087644,0.237521,-0.635627,0.710497,0.155096
6,3G2,3G7,-0.340932,0.0,-0.126592,0.057086,0.191421,-0.546809,0.0,0.600062,0.0,0.16879,0.536131,-0.337756,0.101068,-0.240124
6,3G2,3G2,-0.332228,0.459486,-2.018216,-0.069763,-0.120625,-0.035985,-0.1602,-0.211455,0.241264,-1.781502,-0.280428,0.00138,-0.085627,0.105444
6,3G2,3G3,0.888283,0.0,-0.91084,-0.022651,0.018781,-0.312957,0.0,0.794116,0.0,-0.737347,-0.06516,-0.055995,-0.013032,-0.135542
6,3G3,3G4,0.203429,0.0,-0.096848,-0.899149,-0.46596,0.0,0.0,0.181864,0.0,0.12913,0.119381,0.208383,0.328298,-0.24212
6,3G3,3G5,-0.066957,0.0,-0.019616,-0.054636,0.011325,-0.754882,0.0,-0.059859,0.0,0.026155,-0.039293,0.042208,0.469553,-0.003269
6,3G3,3G3,0.319984,-0.45542,-1.308462,-0.006156,0.061252,-0.097206,0.045771,0.394949,-0.368673,-0.377214,0.103531,-0.152182,-0.00218,0.023576
